BAIRRO,CIDADE,ESTADO,MODO,DISTANCIA_KM,DURACAO,SAIDA_PARA_18H
engenho do porto,duque de caxias,RJ,transit,48.38,1 hora 44 minutos,16:16
parque vitoria,rio de janeiro,RJ,transit,22.26,42 minutos,17:17
monte castelo,nova iguaçu,RJ,transit,48.94,1 hora 32 minutos,16:28
agua santa,rio de janeiro,RJ,transit,23.68,1 hora 4 minutos,16:55
riachao,nova iguaçu,RJ,transit,61.13,1 hora 56 minutos,16:03
vila sao sebastiao,duque de caxias,RJ,transit,37.94,1 hora 42 minutos,16:18
da luz,nova iguaçu,RJ,transit,56.75,2 horas 1 minuto,15:58
prata,teresopolis,RJ,transit,,,
vila rosario,duque de caxias,RJ,transit,44.23,1 hora 55 minutos,16:04
vila itamarati,duque de caxias,RJ,transit,39.56,1 hora 47 minutos,16:12
vila guanabara,duque de caxias,RJ,transit,36.88,1 hora 29 minutos,16:31
jacarepaguá,rio de janeiro,RJ,transit,34.58,1 hora 37 minutos,16:23
praca da ponte,miguel pereira,RJ,transit,,,
mutondo,são gonçalo,RJ,transit,45.32,1 hora 38 minutos,16:22
jardim excelsior,cabo frio,RJ,transit,138.29,3 horas 26 minutos,14:34
centro,duque de caxias,RJ,transit,37.73,1 hora 26 minutos,16:34
jardim caicara,cabo frio,RJ,transit,139.04,3 horas 26 minutos,14:33
parque ipiranga,resende,RJ,transit,184.86,4 horas 10 minutos,13:50
jardim rosario,duque de caxias,RJ,transit,53.84,2 horas 14 minutos,15:46
vila 8 de maio,duque de caxias,RJ,transit,34.08,1 hora 8 minutos,16:51
mirandopolis,quatis,RJ,transit,,,
plante cafe,miguel pereira,RJ,transit,,,
parque vitoria,duque de caxias,RJ,transit,46.45,2 horas 1 minuto,15:59
jardim boa esperança,bom jardim,RJ,transit,228.88,8 horas 31 minutos,09:28
village sao roque,miguel pereira,RJ,transit,,,
ufrj,seropedica,RJ,transit,80.18,3 horas 42 minutos,14:17
centro,maricá,RJ,transit,67.25,4 horas 29 minutos,13:31
